// !重要! - 致译者:
// 不要翻译任何包含于 <>(尖括号)的标签。
// 切忌误删任何半角引号——这会导致整个文件无法被解析。
// 译者注：最好保留原有的作者，只在 710001 号文本中用换行符"\n"分隔的方式添加新的合作者。
// 凡平民、无身份地位的，使用量词“位”，凡军事单位，使用“名”，避免对单位使用“个”等量词，如：
// 1 位牧羊人、1 位村民、1 名斥候骑兵、1 名步弓手

// 可以使用搜索、替换工具来加快翻译进程，但要避免使用以下字符串的全部或部分：
// Houses
// Shepherds
// Hunters
// Hunters/Shepherds
// Foragers
// Farmers
// Lumberjacks
// Gold Miners
// Stone Miners
// Walling Factor
// Town Centers
// Ranges
// Civilian Population
// Villagers
// Scouts
// Archers
// Militia
// Knights
// Skirms
// Fishing Ships
// Fire Galleys
// Relics Captured
// Conqs
// HCs
// BBCs
// BLUE
// RED
// GREEN
// YELLOW
// ORANGE
// Idle Dark
// Idle Feudal
// Idle Castle

// 译者注：善用正则等文本工具大幅度加快翻译进程。
// 如表达式 ^\d+ "[^"]+$ 匹配未以引号结尾的行。
// GLHF :)

// ---

// Authorship

717103 "现在研究织布机，在 26p 时点击封建时代。"
717104 "现在在 29p 时点击封建时代。"

717201 "派遣紧接的村民伐木。"
717202 "抽调 3 位村民建造第二座伐木场，此时共有 8 位伐木工。开始训练 3 名民兵。"
717203 "同时调 2 位牧羊人建造农田。"
717204 "立即研究双刃斧(一级伐木)、升级剑士，攒够木材就建造一座靶场。派遣紧接的村民采集金矿，直到有 5 名金矿工。"
717205 "再调 2 名采集食物的村民去伐木，然后开始让牧羊人陆续在 TC(城镇中心) 周围建造农田。"
717206 "待有 6 块左右的农田时，建造铁匠铺，研究箭羽。"
717207 "派遣紧接的村民采金，直到有 8 名金矿工，建造第二座靶场。"

717301 "派遣紧接的村民开始围家。"
717302 "现在开始训练 3 名民兵，并再建造间房屋，房屋建成后让该村民帮助围家。同时开始陆续让 TC(城镇中心) 脚下的村民建造农田，每攒 60 木材就建一块。"
717303 "如果有需要，可以让采集资源的村民来帮助围家。"
717304 "抽调 4 位村民采金。一旦围家无漏完成且羊肉采集完毕，就抽调 2 位村民伐木，2 位村民采集浆果。"
717305 "抽调一些浆果采集者去采金，直到大约有 9 位金矿工，研究双刃斧(一级伐木)。尽能力开始训练步弓手，攒够木材起第二座靶场。"
717306 "在迈入城堡时代之前记得研究箭羽。"
717307 "升级弩手，攒够资源研究锥子箭。持续训练弩手。"

718000 "在此 BO 期间需要赶鹿——使用斥候将鹿赶到 TC(城镇中心) 脚下。\n译者注：决定版中斥候系(未升级的斥候骑兵和鹰斥候)是无法对鹿类野生动物造成伤害的，因此直接在鹿所在的位置点击鼠标右键不会攻击鹿。实战中如果无法用斥侯系赶鹿，可以按住 Alt 键再于鹿所在位置点击鼠标右键，此举不会攻击鹿。"
718001 "派遣紧接的 3 位村民在 TC(城镇中心) 脚下采集食物。"
718002 "抽调猎人开始建造农田。"
718003 "派遣紧接的 2 位村民伐木。"
718004 "派遣紧接的 4 位村民建造第二座伐木场伐木。"
718005 "研究双刃斧(一级伐木)和马轭(一级耕种)。羊肉采集完后让牧羊人开始建造农田，并抽调 2 位村民伐木。"
718006 "现在建造大学和修道院。"
718007 "注意补充房屋，切忌卡人口。"

718101 "持续抽调村民建造农田，直到共有 4 块农田。"
718102 "研究双刃斧(一级伐木)和马轭(一级耕种)。TC(城镇中心) 脚下的食物采集完后抽调 2 位村民采金，其余 4 位伐 TC 周围的散木。"
718103 "现在抽调 4 位伐散木的村民去准备建造 TC(城镇中心) 的森林边缘就位，另外金矿工也要建造一个 TC。"
718104 "立即拍 2 座 TC(城镇中心)，攒够资源研究弓锯(二级伐木)。然后每攒 60 木材添加一块农田。"
718105 "从所有 3 座 TC(城镇中心) 中持续生产村民。保持一些村民采集金矿，以便在需要时通过购买食物维持 TC 运转。"
718106 "等大约有 25 块农田时，可以研究采金法，并开始派遣更多村民采金。继续让村民建造更多农田。"

718201 "紧接着生产的村民采集 20 点金矿，不要建造采矿场。"
718202 "持续抽调村民建造农田，直到共有 6 块农田。"
718203 "建造市场和铁匠铺，紧接的 2 位村民伐木。出售 100 石料以升级城堡时代。"
718204 "研究双刃斧(一级伐木)和马轭(一级耕种)。当 TC(城镇中心) 脚下的 4 个村民采集完食物后，去伐周围的散木。"
718205 "现在抽调 2 位伐散木的村民去准备建造 TC(城镇中心) 的森林边缘，另外 2 位去(主)金矿边缘，另外石矿工也要建造一个 TC。"
718206 "立即拍 3 座 TC(城镇中心)，并研究弓锯(二级伐木)。然后每攒 60 木材添加一块农田。"
718207 "等大约有 30 块农田时，已能够升级诸如手推车、重犁(二级耕种)和采金法等经济科技。除了建造农田之外也要开始派遣更多村民采金。"

718301 "建造马厩和铁匠铺，紧接的 2 位村民伐木。此时即可升级到城堡时代。\n译者注：铁匠铺建造时间 40，马厩建造时间 50，2 村民生产时间各 25，共 50，因此先建造马厩，等马厩建好刚好可以升级时代。"
718302 "等牧羊人全都转成农夫，再抽调 2 位浆果采集者建造农田。"
718303 "建造修道院，用大约 4 位村民建造第二座 TC(城镇中心)。研究弓锯(二级伐木)，紧接着生产的 2 位村民采金。"
718304 "研究独轮手推车。开始让僧侣收集圣物。"
718305 "尽快建造第 3 座 TC(城镇中心)。每攒 60 木材添加一块农田。"
718306 "别忘记建造大学以升级时代。"

718401 "开始建造农田，直到共有 3 块农田。"
718402 "派遣紧接的 3 位村民采集石矿。"
718403 "开始训练征服者。村民建好城堡后转采金。"

718501 "派遣紧接的 4 位村民在 TC(城镇中心) 脚下采集食物，并开始建造农田。"
718502 "派遣紧接的最后 5 位村民采集金矿。"
718503 "持续抽调村民建造农田，直到共有 8 块农田。"
718504 "建造市场和铁匠铺，紧接的 2 位村民采金。此时即可升级到城堡时代。\n译者注：铁匠铺建造时间 40，市场双人建造时间 60/(1+1/3)=45，2 村民生产时间各 25，共 50。两位村民生产完即可升级。"
718505 "研究双刃斧(一级伐木)和采金法，并出售库存的 200 石料。"
718506 "采集完 TC(城镇中心) 脚下的食物，调剩余的村民建造第二座采矿场采金。"
718507 "浆果采集者采完后调去伐木。"
718508 "建造攻城武器厂和修道院，紧接的 2 位村民采金。之后需要购买食物来升级帝王时代。"
718509 "建造 1 座军营，然后再建造 2 座靶场。"
718510 "开始训练火枪手并建造手推炮。"

718601 "迅速让所有村民采集羊肉，并研究织布机。\n译者注：请善用“选择所有闲置村民”快捷键。"
718602 "马上手动提交食物，保持 TC(城镇中心) 持续不断生产村民。紧接着生产的村民先建造房屋，然后一起采集羊肉。\n译者注：实战中第一次提交的时机是羊肉剩余 45 时。"
718603 "紧接的 5 位村民采集浆果，其中的第一位先建造 1 间房屋。"
718604 "驻扎 1 位受伤最重的猎人放出去建造农田。再建造间房屋。"
718605 "抽调更多村民伐木，使得共有 11 位伐木工。此时也可以再添加一块农田。"
718606 "此 BO 的其余部分应已不再陌生，可尝试亲自完成这个场景。\n译者注：如果还不熟悉对应的常规开局，请先复习前面部分的 BO，注意别忘记封建时代前建造军营，以及别卡人口。"

718701 "紧接着生产的村民建造间房屋，然后伐木，此时共有 4 位伐木工。"
718702 "紧接的 5 位村民采集浆果。"
718703 "紧接着生产的村民采集猪肉。注意补充房屋。"
718704 "抽调更多村民伐木，使得共有 12 位伐木工，再抽调 3 位村民采金。"

719001 "紧接的村民建造间房屋，然后在附近的海岸线上建造船坞。"
719002 "开始建造 4 艘渔船捕捞深海鱼群。建船坞的村民再建造间房屋，然后开始捕捞海滨鱼群，伺机再建造建筑物。\n译者注：渔船捕捞深海鱼群的效率高于海滨鱼群的，而渔夫的效率比猎人还高。"
719003 "派遣紧接的村民们全都在 TC(城镇中心) 脚下采集食物。注意引诱第二头野猪。"
719004 "抽调所有村民伐木。尽快建造第二座伐木场，使得平均每座伐木场分配 7 位伐木工。其余村民伐 TC(城镇中心) 周围的散木。"

719101 "抽调 6 位伐散木村民采金。"
719102 "抽调村民在封建时代之前建好第二座船坞。"
719103 "现在从两座船坞中持续建造火艨艟，并研究双刃斧(一级伐木)。尽快攒够木材起第三座船坞。派遣紧接着生产的村民采集羊肉和浆果。"
719104 "现在从所有三座船坞中持续建造火艨艟。"
719105 "大约有 6 名浆果采集者时，开始建造农田。"
719106 "建造市场和铁匠铺。"

719201 "抽调 4 位伐散木村民采金。"
719202 "研究双刃斧(一级伐木)，开始建造火艨艟。尽快建造 2 座靶场，派遣紧接着生产的村民采金，直到共有 8 位金矿工。"
719203 "开始训练步弓手。待 2 座靶场建好，再建造铁匠铺，研究箭羽。"
719204 "紧接着生产的村民采集羊肉和浆果。此时不再需要这么多伐木工，抽调部分伐木工采集食物，直到只剩 10 位伐木工。"

// Parameters

720000 "指令"
720001 "<Houses>/1 房屋"
720002 "<Houses>/2 房屋"
720003 "<Houses>/3 房屋"
720004 "<Houses>/4 房屋"
720005 "<Houses>/5 房屋"
720006 "<Houses>/6 房屋"
720013 "- <Shepherds>/3 牧羊人"
720014 "- <Shepherds>/4 牧羊人"
720015 "- <Shepherds>/5 牧羊人"
720016 "- <Shepherds>/6 牧羊人"
720017 "- <Shepherds>/7 牧羊人"
720018 "- <Shepherds>/8 牧羊人"
720019 "- <Shepherds>/9 牧羊人"
720027 "- <Hunters/Shepherds>/7 猎人"
720028 "- <Hunters/Shepherds>/8 猎人"
720029 "- <Hunters/Shepherds>/9 猎人"
720032 "- <Foragers>/2 浆果采集者"
720033 "- <Foragers>/3 浆果采集者"
720034 "- <Foragers>/4 浆果采集者"
720035 "- <Foragers>/5 浆果采集者"
720036 "- <Foragers>/6 浆果采集者"
720041 "- <Farmers>/1 农夫"
720042 "- <Farmers>/2 农夫"
720043 "- <Farmers>/3 农夫"
720044 "- <Farmers>/4 农夫"
720045 "- <Farmers>/5 农夫"
720046 "- <Farmers>/6 农夫"
720047 "- <Farmers>/7 农夫"
720048 "- <Farmers>/8 农夫"
720049 "- <Farmers>/9 农夫"
720050 "- <Farmers>/10 农夫"
720051 "- <Farmers>/11 农夫"
720052 "- <Farmers>/12 农夫"
720054 "- <Farmers>/14 农夫"
720056 "- <Farmers>/16 农夫"
720058 "- <Farmers>/18 农夫"
720063 "- <Lumberjacks>/3 伐木工"
720064 "- <Lumberjacks>/4 伐木工"
720065 "- <Lumberjacks>/5 伐木工"
720066 "- <Lumberjacks>/6 伐木工"
720067 "- <Lumberjacks>/7 伐木工"
720068 "- <Lumberjacks>/8 伐木工"
720069 "- <Lumberjacks>/9 伐木工"
720070 "- <Lumberjacks>/10 伐木工"
720071 "- <Lumberjacks>/11 伐木工"
720072 "- <Lumberjacks>/12 伐木工"
720074 "- <Lumberjacks>/14 伐木工"
720076 "- <Lumberjacks>/16 伐木工"
720078 "- <Lumberjacks>/18 伐木工"
720080 "- <Lumberjacks>/20 伐木工"
720082 "- <Gold Miners>/2 金矿工"
720083 "- <Gold Miners>/3 金矿工"
720084 "- <Gold Miners>/4 金矿工"
720085 "- <Gold Miners>/5 金矿工"
720086 "- <Gold Miners>/6 金矿工"
720087 "- <Gold Miners>/7 金矿工"
720088 "- <Gold Miners>/8 金矿工"
720089 "- <Gold Miners>/9 金矿工"
720090 "- <Gold Miners>/10 金矿工"
720092 "- <Gold Miners>/12 金矿工"
720094 "- <Gold Miners>/14 金矿工"
720102 "- <Stone Miners>/2 石矿工"
720103 "- <Stone Miners>/3 石矿工"
720104 "- <Stone Miners>/4 石矿工"
720105 "- <Stone Miners>/5 石矿工"
720106 "- <Stone Miners>/6 石矿工"
720107 "- <Stone Miners>/7 石矿工"
720108 "- <Stone Miners>/8 石矿工"
720111 "- 引诱第 1 头野猪"
720112 "- 引诱第 2 头野猪"
720113 "- 采集 10 点黄金"
720114 "- 采集 20 点黄金"
720115 "<Walling Factor>% 围家"
720119 "- <Hunters/Shepherds>/9 采集羊/猪肉"
720120 "- <Hunters/Shepherds>/10 采集羊/猪肉"
720121 "- <Hunters/Shepherds>/11 采集羊/猪肉"
720122 "- <Hunters/Shepherds>/12 采集羊/猪肉"
720123 "- <Hunters/Shepherds>/13 采集羊/猪肉"
720124 "- <Hunters/Shepherds>/14 采集羊/猪肉"
720125 "- <Hunters/Shepherds>/15 采集羊/猪肉"
720133 "- <Hunters/Shepherds>/3 采集羊/鹿肉"
720134 "- <Hunters/Shepherds>/4 采集羊/鹿肉"
720135 "- <Hunters/Shepherds>/5 采集羊/鹿肉"
720136 "- <Hunters/Shepherds>/6 采集羊/鹿肉"
720137 "- <Hunters/Shepherds>/7 采集羊/鹿肉"
720138 "- <Hunters/Shepherds>/8 采集羊/鹿肉"
720139 "- <Hunters/Shepherds>/9 采集羊/鹿肉"
720140 "- <Hunters/Shepherds>/10 采集羊/鹿肉"
720141 "- <Hunters/Shepherds>/11 采集羊/鹿肉"
720142 "- <Hunters/Shepherds>/12 采集羊/鹿肉"
720143 "- <Hunters/Shepherds>/13 采集羊/鹿肉"
720144 "- <Hunters/Shepherds>/14 采集羊/鹿肉"
720145 "- <Hunters/Shepherds>/15 采集羊/鹿肉"

720150 "建造 伐木场"
720151 "建造 第 2 座伐木场"
720152 "建造 磨坊"
720153 "建造 采矿场"
720154 "建造 军营"
720155 "建造 马厩"
720156 "建造 靶场"
720157 "建造 2 靶场 (<Ranges>/2)"
720158 "建造 铁匠铺"
720159 "建造 市场"
720160 "建造 2 TC (<Town Centers>/3)"
720161 "建造 第 4 座 TC (<Town Centers>/4)"
720162 "建造 第 2 座马厩"
720163 "建造 第 2 座靶场"
720164 "建造 3 TC (<Town Centers>/4)"
720165 "建造 第 2 座 TC"
720166 "建造 第 3 座 TC"
720167 "建造 修道院"
720168 "建造 大学"
720169 "建造 攻城武器厂"
720170 "建造 船坞"
720171 "建造 第 2 座船坞"
720172 "建造 第 3 座船坞"
720173 "建造 城堡"

// Objectives

720200 "<Civilian Population>/20 村民"
720201 "<Civilian Population>/21 村民"
720202 "<Civilian Population>/22 村民"
720203 "<Civilian Population>/23 村民"
720204 "<Civilian Population>/24 村民"
720205 "<Civilian Population>/25 村民"
720206 "<Civilian Population>/26 村民"
720207 "<Civilian Population>/27 村民"
720208 "<Civilian Population>/28 村民"
720209 "<Civilian Population>/29 村民"
720210 "<Civilian Population>/30 村民"
720211 "<Civilian Population>/31 村民"
720212 "<Civilian Population>/32 村民"
720213 "<Civilian Population>/33 村民"
720214 "<Civilian Population>/34 村民"
720215 "<Civilian Population>/35 村民"
720216 "<Civilian Population>/36 村民"
720217 "<Civilian Population>/37 村民"
720218 "<Civilian Population>/38 村民"
720219 "<Civilian Population>/39 村民"
720220 "<Civilian Population>/40 村民"
720221 "<Civilian Population>/60 村民"
720222 "<Civilian Population>/70 村民"
720223 "<Civilian Population>/90 村民"
720225 "<Villagers>/21 村民"

720230 "研究 织布机"
720231 "点击 封建时代"
720232 "点击 城堡时代"
720233 "点击 帝王时代"
720241 "研究 双刃斧"
720242 "研究 马轭"
720243 "研究 独轮手推车"
720244 "研究 弓锯"
720245 "研究 采金法"
720246 "研究 手推车"
720247 "研究 马轭(仅 A+ 需要)"
720250 "研究 箭羽"
720251 "升级 剑士"
720252 "升级 弩手"
720253 "建造 城堡"
720254 "研究 血统"
720255 "研究 重犁"
720256 "研究 手推车"
720257 "迈入 城堡时代"
720258 "研究 锥子箭"

720261 "<Scouts>/6 斥候"
720262 "<Scouts>/8 斥候"
720263 "<Archers>/6 步弓手"
720264 "<Archers>/8 步弓手"
720265 "<Archers>/20 步弓手"
720266 "<Archers>/22 步弓手"
720267 "<Archers>/24 步弓手"
720268 "<Archers>/8 弩手"
720269 "<Militia>/3 民兵"
720270 "<Militia>/3 剑士"
720271 "<Knights>/6 骑士"
720272 "<Skirms>/8 掷矛手"
720273 "<Fishing Ships>/4 渔船"
720274 "<Fire Galleys>/3 火艨艟"
720275 "<Fire Galleys>/5 火艨艟"
720276 "<Fire Galleys>/16 火艨艟"
720277 "<Archers>/16 步弓手"
720278 "<Scouts>/4 斥候"
720279 "<Relics Captured>/5 圣物"
720280 "<Conqs>/6 征服者"
720281 "<HCs>/10 火枪手"
720282 "<BBCs>/3 手推炮"
720283 "<Archers>/5 步弓手"
720285 "<Archers>/10 步弓手"

// Objectives

730310 "(I) 21 pop 封建时代"
730311 "(I) 21 pop 封建时代: A+"
730312 "(I) 21 pop 封建时代: A"
730313 "(I) 21 pop 封建时代: B"
730314 "(I) 21 pop 封建时代: C"
730315 "(I) 21 pop 封建时代: D"
730316 "(I) 21 pop 封建时代: E"
730317 "(I) 21 pop 封建时代: F"

730320 "(I) 22 pop 封建时代"
730321 "(I) 22 pop 封建时代: A+"
730322 "(I) 22 pop 封建时代: A"
730323 "(I) 22 pop 封建时代: B"
730324 "(I) 22 pop 封建时代: C"
730325 "(I) 22 pop 封建时代: D"
730326 "(I) 22 pop 封建时代: E"
730327 "(I) 22 pop 封建时代: F"

730330 "(I) 23 pop 封建时代"
730331 "(I) 23 pop 封建时代: A+"
730332 "(I) 23 pop 封建时代: A"
730333 "(I) 23 pop 封建时代: B"
730334 "(I) 23 pop 封建时代: C"
730335 "(I) 23 pop 封建时代: D"
730336 "(I) 23 pop 封建时代: E"
730337 "(I) 23 pop 封建时代: F"

730340 "(I) 27 pop 封建时代"
730341 "(I) 27 pop 封建时代: A+"
730342 "(I) 27 pop 封建时代: A"
730343 "(I) 27 pop 封建时代: B"
730344 "(I) 27 pop 封建时代: C"
730345 "(I) 27 pop 封建时代: D"
730346 "(I) 27 pop 封建时代: E"
730347 "(I) 27 pop 封建时代: F"

730350 "(I) 28 pop 封建时代"
730351 "(I) 28 pop 封建时代: A+"
730352 "(I) 28 pop 封建时代: A"
730353 "(I) 28 pop 封建时代: B"
730354 "(I) 28 pop 封建时代: C"
730355 "(I) 28 pop 封建时代: D"
730356 "(I) 28 pop 封建时代: E"
730357 "(I) 28 pop 封建时代: F"

730360 "(I) 32 pop 封建时代"
730361 "(I) 32 pop 封建时代: A+"
730362 "(I) 32 pop 封建时代: A"
730363 "(I) 32 pop 封建时代: B"
730364 "(I) 32 pop 封建时代: C"
730365 "(I) 32 pop 封建时代: D"
730366 "(I) 32 pop 封建时代: E"
730367 "(I) 32 pop 封建时代: F"

730370 "(I) 25 pop 封建时代"
730371 "(I) 25 pop 封建时代: A+"
730372 "(I) 25 pop 封建时代: A"
730373 "(I) 25 pop 封建时代: B"
730374 "(I) 25 pop 封建时代: C"
730375 "(I) 25 pop 封建时代: D"
730376 "(I) 25 pop 封建时代: E"
730377 "(I) 25 pop 封建时代: F"

730380 "(I) 26 pop 封建时代"
730381 "(I) 26 pop 封建时代: A+"
730382 "(I) 26 pop 封建时代: A"
730383 "(I) 26 pop 封建时代: B"
730384 "(I) 26 pop 封建时代: C"
730385 "(I) 26 pop 封建时代: D"
730386 "(I) 26 pop 封建时代: E"
730387 "(I) 26 pop 封建时代: F"

730390 "(I) 29 pop 封建时代"
730391 "(I) 29 pop 封建时代: A+"
730392 "(I) 29 pop 封建时代: A"
730393 "(I) 29 pop 封建时代: B"
730394 "(I) 29 pop 封建时代: C"
730395 "(I) 29 pop 封建时代: D"
730396 "(I) 29 pop 封建时代: E"
730397 "(I) 29 pop 封建时代: F"

730400 "(I) 24 pop 封建时代"
730401 "(I) 24 pop 封建时代: A+"
730402 "(I) 24 pop 封建时代: A"
730403 "(I) 24 pop 封建时代: B"
730404 "(I) 24 pop 封建时代: C"
730405 "(I) 24 pop 封建时代: D"
